Word,Synonym1,Synonym2,Synonym3,Synonym4,Synonym5
قوة,قدرة,عزيمة,قوة,جبروت,عنف
سعادة,فرح,بهجة,سرور,طرب,بسمة
حب,عشق,وله,حنان,عطف,ود
جمال,نعومة,روعة,سحر,جاذبية,أناقة
علم,معرفة,ثقافة,علم,تعليم,دراية
حرية,استقلال,تحرر,حرية,فكر,انفراد
سلام,هدوء,سكينة,سلام,وئام,انسجام
عدالة,مساواة,إنصاف,عدالة,حق,شرعية
رحمة,شفقة,عطف,رحمة,غفران,رأفة
صداقة,وفاء,محبة,تضامن,وئام,ود
سرور,سعادة,فرح,بهجة,طرب,ابتهاج
هدوء,سكينة,سلام,هدوء,هدنة,سكون
وفاء,صداقة,وفاء,اخلاص,ود,ثبات
عشق,حب,غرام,عشق,وله,شغف
محبة,صداقة,حب,مودة,ود,محبة
وئام,سلام,صداقة,وفاء,انسجام,هناء
محبة, ود, مودة, غرام, حب, شغف
سرور, فرح, سعادة, بهجة, طرب, ابتهاج
سلام, هدوء, سكينة, وئام, انسجام, هناء
علم, معرفة, ثقافة, دانمرك, تعليم, دراية
جمال, نعومة, روعة, جمال, جاذبية, أناقة
قوة, قدرة, عزيمة, قوة, جبروت, عنف
حرية, استقلال, تحرر, حرية, فكر, انفراد
حب, عشق, وله, حنان, عطف, ود
صداقة, وفاء, محبة, تضامن, هناء, وئام
رحمة, شفقة, عطف, رحمة, غفران, رأفة
عدالة, مساواة, إنصاف, عدالة, حق, شرعية
وفاء, صداقة, وفاء, اخلاص, ثبات, تمسك
هدوء, سكينة, سلام, هدوء, هدنة, سكون
سعادة, فرح, بهجة, سرور, طرب, بسمة
رضا, رضا, سرور, رضا, قناعة, ارتياح
رضا, رضا, سرور, رضا, قناعة, ارتياح
رضا, رضا, سرور, رضا, قناعة, ارتياح
رضا, رضا, سرور, رضا, قناعة, ارتياح
حزن, كآبة, أسى, حزن, غم, يأس
خوف, رهبة, وجل, هلع, فزع, رعب
غضب, غضب, غيظ, سخط, غضب, غضب
خجل, استحى, إحراج, خجل, شعور, تواضع
تفاؤل, أمل, تفاؤل, تفاؤل, أمل, أمل
حبس, سجن, حبس, حصار, إحتجاز, إحتجاز
فرح, فرح, سعادة, فرح, سرور, بهجة
حرية, استقلال, تحرر, حرية, فكر, انفراد
تسامح, عفو, تسامح, صفح, رحمة, شفقة
وحدة, عزلة, وحدة, انعزال, وحدة, انقطاع
إيمان, إيمان, يقين, إيمان, إخلاص, صدق
سلام, هدوء, سكينة, وئام, انسجام, هناء
قوة, قدرة, عزيمة, قوة, جبروت, عنف
ثقة, ثقة, يقين, ثقة, ثبات, استقرار
سعادة, فرح, بهجة, سرور, طرب, بسمة
وفاء, صداقة, مودة, وفاء, اخلاص, ثبات
رحمة, شفقة, عطف, رحمة, غفران, رأفة
عدالة, مساواة, إنصاف, عدالة, حق, شرعية
نجاح, تفوق, نجاح, تميز, إنجاز, إتقان
شجاعة, جرأة, شجاعة, شجاعة, إقدام, حرية
ألم, آلام, معاناة, ألم, أوجاع, شقاء
خوف, رهبة, هلع, وجل, فزع, رعب
غضب, غيظ, سخط, غضب, غضب, غضب
خجل, إحراج, استحى, خجل, خجل, تواضع
تفاؤل, أمل, تفاؤل, أمل, تفاؤل, أمل
حبس, سجن, حصار, حبس, إحتجاز, إحتجاز
فرح, سعادة, فرح, فرح, سرور, بهجة
حرية, استقلال, تحرر, حرية, فكر, انفراد
تسامح, عفو, تسامح, رحمة, صفح, شفقة
وحدة, عزلة, وحدة, انعزال, انقطاع, فراغ
إيمان, يقين, إيمان, إخلاص, ثبات, صدق
سلام, هدوء, سكينة, سلام, وئام, انسجام
قوة, قدرة, عزيمة, جبروت, قوة, عنف
ثقة, ثقة, يقين, ثبات, ثقة, إيمان
سعادة, فرح, بهجة, سرور, طرب, ابتهاج
وفاء, صداقة, وفاء, مودة, اخلاص, إخلاص
رحمة, شفقة, رحمة, عطف, رحمة, رأفة
عدالة, مساواة, إنصاف, حق, عدالة, شرعية
نجاح, تفوق, نجاح, تميز, إنجاز, إتقان
شجاعة, جرأة, شجاعة, شجاعة, إقدام, حرية
رقيق, لطيف, عذب, رقيق, لطيف, نقي
عار, حرج, خزي, عار, حرج, خزي
رجاء, تضرع, أمل, رجاء, تضرع, أمل
شهامة, فارسية, شهامة, فارسية, شهامة, فارسية
رباع, طرب, فرح, رباع, طرب, فرح
هجاء, سخرية, هجاء, سخرية, هجاء, سخرية
تقدير, احترام, تقدير, احترام, تقدير, احترام
غضب, سخط, غضب, سخط, غضب, سخط
تعاطف, شفقة, تعاطف, شفقة, تعاطف, شفقة
بهجة, سرور, بهجة, سرور, بهجة, سرور
ضحك, ابتسامة, ضحك, ابتسامة, ضحك, ابتسامة
تسلية, مرح, تسلية, مرح, تسلية, مرح
عناد, جبروت, عناد, جبروت, عناد, جبروت
غباء, جهل, غباء, جهل, غباء, جهل
خوف, رهبة, خوف, رهبة, خوف, رهبة
فرح, سرور, فرح, سرور, فرح, سرور
قلق, توتر, قلق, توتر, قلق, توتر
حب, عشق, حب, عشق, حب, عشق
فزع, هلع, فزع, هلع, فزع, هلع
فجر, صباح, فجر, صباح, فجر, صباح
غروب, مغيب, غروب, مغيب, غروب, مغيب
سماء, فضاء, سماء, فضاء, سماء, فضاء
بحر, محيط, بحر, محيط, بحر, محيط
شهر, شهرة, شهر, شهرة, شهر, شهرة
قراءة, اطلاع, قراءة, اطلاع, قراءة, اطلاع
طعام, غذاء, طعام, غذاء, طعام, غذاء
شراب, مشروب, شراب, مشروب, شراب, مشروب
خضراء, رقيق, خضراء, رقيق, خضراء, رقيق
كتاب, مجلد, كتاب, مجلد, كتاب, مجلد
مدرسة, معلم, مدرسة, معلم, مدرسة, معلم
شعر, شاعر, شعر, شاعر, شعر, شاعر
تلفزيون, قناة, تلفزيون, قناة, تلفزيون, قناة
فيلم, سينما, فيلم, سينما, فيلم, سينما
نظارات, عدسات, نظارات, عدسات, نظارات, عدسات
سيارة, سائق, سيارة, سائق, سيارة, سائق
قطار, محطة, قطار, محطة, قطار, محطة
مطار, طائرة, مطار, طائرة, مطار, طائرة
دراجة, متسابق, دراجة, متسابق, دراجة, متسابق
حاسوب, كمبيوتر, حاسوب, كمبيوتر, حاسوب, كمبيوتر
شاحنة, سائق, شاحنة, سائق, شاحنة, سائق
طاولة, كرسي, طاولة, كرسي, طاولة, كرسي
صحيفة, كاتب, صحيفة, كاتب, صحيفة, كاتب
رياضة, لاعب, رياضة, لاعب, رياضة, لاعب
كرة, مدرب, كرة, مدرب, كرة, مدرب
فوتبول, حكم, فوتبول, حكم, فوتبول, حكم
تنس, مضرب, تنس, مضرب, تنس, مضرب
كريكت, لاعب, كريكت, لاعب, كريكت, لاعب
شاطئ, بحر, شاطئ, بحر, شاطئ, بحر
سمك, بحر, سمك, بحر, سمك, بحر
شمس, نهار, شمس, نهار, شمس, نهار
قمر, ليل, قمر, ليل, قمر, ليل
نجم, ليل, نجم, ليل, نجم, ليل
طير, سماء, طير, سماء, طير, سماء
غيم, سماء, غيم, سماء, غيم, سماء
أمطار, غيم, أمطار, غيم, أمطار, غيم
شجرة, غابة, شجرة, غابة, شجرة, غابة
زهرة, بستان, زهرة, بستان, زهرة, بستان
فاكهة, شجرة, فاكهة, شجرة, فاكهة, شجرة
تفاح, شجرة, تفاح, شجرة, تفاح, شجرة
برتقال, شجرة, برتقال, شجرة, برتقال, شجرة
ليمون, شجرة, ليمون, شجرة, ليمون, شجرة
فراولة, شجرة, فراولة, شجرة, فراولة, شجرة
تمر, شجرة, تمر, شجرة, تمر, شجرة
عنب, شجرة, عنب, شجرة, عنب, شجرة
خضر, غابة, خضر, غابة, خضر, غابة
حيوان, غابة, حيوان, غابة, حيوان, غابة
قرد, غابة, قرد, غابة, قرد, غابة
ذئب, غابة, ذئب, غابة, ذئب, غابة
حجر, جبل, حجر, جبل, حجر, جبل
غار, جبل, غار, جبل, غار, جبل
بحيرة, ماء, بحيرة, ماء, بحيرة, ماء
نهر, ماء, نهر, ماء, نهر, ماء
سيل, ماء, سيل, ماء, سيل, ماء
صحراء, رمال, صحراء, رمال, صحراء, رمال
قمح, حقل, قمح, حقل, قمح, حقل
شعير, حقل, شعير, حقل, شعير, حقل
ذرة, حقل, ذرة, حقل, ذرة, حقل
خضر, حقل, خضر, حقل, خضر, حقل
زرع, حقل, زرع, حقل, زرع, حقل
حجر, طريق, حجر, طريق, حجر, طريق
رمل, طريق, رمل, طريق, رمل, طريق
ماء, نهر, ماء, نهر, ماء, نهر
سفينة, بحر, سفينة, بحر, سفينة, بحر
طائرة, مطار, طائرة, مطار, طائرة, مطار
دبابة, حرب, دبابة, حرب, دبابة, حرب
سلاح, جندي, سلاح, جندي, سلاح, جندي
رصاص, جندي, رصاص, جندي, رصاص, جندي
نار, حريق, نار, حريق, نار, حريق
دخان, نار, دخان, نار, دخان, نار
قمر, ليل, قمر, ليل, قمر, ليل
شمس, نهار, شمس, نهار, شمس, نهار
نجم, ليل, نجم, ليل, نجم, ليل
طير, سماء, طير, سماء, طير, سماء
غيم, سماء, غيم, سماء, غيم, سماء
أمطار, غيم, أمطار, غيم, أمطار, غيم
شجرة, غابة, شجرة, غابة, شجرة, غابة
زهرة, بستان, زهرة, بستان, زهرة, بستان
فاكهة, شجرة, فاكهة, شجرة, فاكهة, شجرة
تفاح, شجرة, تفاح, شجرة, تفاح, شجرة
برتقال, شجرة, برتقال, شجرة, برتقال, شجرة
ليمون, شجرة, ليمون, شجرة, ليمون, شجرة
فراولة, شجرة, فراولة, شجرة, فراولة, شجرة
تمر, شجرة, تمر, شجرة, تمر, شجرة
عنب, شجرة, عنب, شجرة, عنب, شجرة
خضر, غابة, خضر, غابة, خضر, غابة
حيوان, غابة, حيوان, غابة, حيوان, غابة
قرد, غابة, قرد, غابة, قرد, غابة
ذئب, غابة, ذئب, غابة, ذئب, غابة
حجر, جبل, حجر, جبل, حجر, جبل
غار, جبل, غار, جبل, غار, جبل
بحيرة, ماء, بحيرة, ماء, بحيرة, ماء
نهر, ماء, نهر, ماء, نهر, ماء
سيل, ماء, سيل, ماء, سيل, ماء
صحراء, رمال, صحراء, رمال, صحراء, رمال
قمح, حقل, قمح, حقل, قمح, حقل
شعير, حقل, شعير, حقل, شعير, حقل
ذرة, حقل, ذرة, حقل, ذرة, حقل
خضر, حقل, خضر, حقل, خضر, حقل
زرع, حقل, زرع, حقل, زرع, حقل
حجر, طريق, حجر, طريق, حجر, طريق
رمل, طريق, رمل, طريق, رمل, طريق
ماء, نهر, ماء, نهر, ماء, نهر
سفينة, بحر, سفينة, بحر, سفينة, بحر
طائرة, مطار, طائرة, مطار, طائرة, مطار
دبابة, حرب, دبابة, حرب, دبابة, حرب
سلاح, جندي, سلاح, جندي, سلاح, جندي
رصاص, جندي, رصاص, جندي, رصاص, جندي
نار, حريق, نار, حريق, نار, حريق
دخان, نار, دخان, نار, دخان, نار
أحمر, لون, أحمر, لون, أحمر, لون
أزرق, لون, أزرق, لون, أزرق, لون
أخضر, لون, أخضر, لون, أخضر, لون
أصفر, لون, أصفر, لون, أصفر, لون
برتقالي, لون, برتقالي, لون, برتقالي, لون
أرجواني, لون, أرجواني, لون, أرجواني, لون
بنفسجي, لون, بنفسجي, لون, بنفسجي, لون
زهري, لون, زهري, لون, زهري, لون
بني, لون, بني, لون, بني, لون
أبيض, لون, أبيض, لون, أبيض, لون
أسود, لون, أسود, لون, أسود, لون
أصفر, شمس, أصفر, شمس, أصفر, شمس
أخضر, نبات, أخضر, نبات, أخضر, نبات
أحمر, ورد, أحمر, ورد, أحمر, ورد
أزرق, سماء, أزرق, سماء, أزرق, سماء
أسود, فحم, أسود, فحم, أسود, فحم
أبيض, ثلج, أبيض, ثلج, أبيض, ثلج
أرجواني, زهرة, أرجواني, زهرة, أرجواني, زهرة
بني, تراب, بني, تراب, بني, تراب